edate,AH3,AH1
2010-01,835.783334694848,155037.808585894
2010-02,156.929250969432,173249.893070253
2010-03,310.511144519786,176059.818942718
2010-04,914.745221144088,61470.8788608827
2010-05,1058.58588359912,12967.6770740892
2010-06,3308.12519731619,2940.55573094772
2010-07,4424.15511358106,1474.71837119369
2010-08,12702.3860329572,5716.07371483074
2010-09,11580.2416023405,7369.24465603487
2010-10,255664.004518133,134225.575914952
2010-11,499747.767433925,261081.907173869
2010-12,743831.530349717,387938.238432787
2011-01,987915.293265509,514794.569691704
2011-02,1094342.38415679,960937.942776033
2011-03,428992.650307757,356769.050599897
2011-04,108758.182855367,53715.9317761265
2011-05,14692.6424624577,5509.74092342163
2011-06,1021.01569714141,3063.04709142422
2011-07,2094.91829170101,1197.09616668629
2011-08,7435.80197353104,2478.60065784368
2011-09,10668.0610864845,2133.6122172969
2011-10,13977.1779218283,1524.78304601764
2011-11,22827.3032669359,1956.62599430879
2011-12,61850.6966309874,4417.90690221338
2012-01,122429.478138253,28418.3857660938
2012-02,370261.950870263,150161.791186273
2012-03,733630.675194018,304493.482115274
2012-04,356298.60125072,120516.439159893
2012-05,171141.451588418,33241.7606468731
2012-06,72818.7665899945,13692.4176494007
2012-07,39558.847150475,3819.47489728724
2012-08,57324.4458101357,3977.61460723391
2012-09,33301.553484484,2140.81415257397
2012-10,69638.9555694814,2859.57063932653
2012-11,294147.000550563,5222.78054954836
2012-12,1878817.98620252,35160.2214308532
2013-01,2276785.52761627,73726.4804062357
2013-02,801815.004448167,70070.3173459344
2013-03,201994.844552488,36997.3196185546
2013-04,62961.5434757464,26479.1537982111
2013-05,29226.5717620831,11292.0845444412
2013-06,16068.6230053789,16674.9861376573
2013-07,24600.2525197,11291.9191893705
2013-08,15583.3430956818,21427.0967565624
2013-09,10534.9549364897,62880.5122771727
2013-10,16667.704658623,62150.7631338485
2013-11,18160.6601511006,169624.31027729
2013-12,31732.40457715,1164891.63952906
2014-01,59380.4478752709,1712863.94863741
2014-02,51554.7057065616,698089.94167336
2014-03,77424.5700313479,184903.725554098
2014-04,152855.336244469,35245.3118097603
2014-05,100686.714779444,5784.13042349995
2014-06,70013.099208186,1915.78132161703
2014-07,38305.804677538,1146.88037956701
2014-08,34085.6221314661,2112.74517343798
2014-09,44640.6626724154,2470.88538777207
2014-10,75825.0850900146,2172.96623938202
2014-11,409856.915675088,3198.78257450346
2014-12,2187171.73783774,4089.40433491977
2015-01,1982935.20820909,3394.34720566442
2015-02,951499.788910689,3835.02093569668
2015-03,215364.839783914,3050.93670598352
2015-04,40621.3673368589,2752.12515832378
2015-05,12093.7149886676,1145.72036734746
2015-06,19443.3483877058,413.68826356821
2015-07,20844.3820704036,1612.95813640028
2015-08,23379.3295430043,1263.7475428651
2015-09,34269.1389193397,1016.4575103194
2015-10,24812.0558165177,4776.65245665581
2015-11,19205.5449162638,8190.60003781838
2015-12,22855.7988148517,35150.6423152547
2016-01,45841.9793725908,148668.764660364
2016-02,124569.650793475,636627.46673671
2016-03,160107.954547689,1023486.62555123
2016-04,91884.0367078125,328579.945221676
2016-05,47444.8125018626,49002.7018675954
2016-06,15825.7736773237,4960.31712274324
2016-07,12306.1204705982,1089.03720978745
2016-08,18322.5305939574,1832.25305939574
2016-09,29679.2815734072,4347.92023049914
2016-10,36052.4603136858,3660.95623494381
2016-11,80712.2516524205,3971.55524003974
2016-12,321009.766978955,9268.3272557326
2017-01,1129891.40367588,25285.7690714488
2017-02,1876974.2749593,49314.4146982572
2017-03,792295.683916419,28605.2821026209
2017-04,202749.816290498,9074.30707512585
2017-05,50037.9159352805,3586.94737887315
2017-06,34369.6605546913,4353.49033692756
2017-07,22031.5535251499,4879.47158610703
2017-08,24997.4127662193,3638.86388369015
2017-09,39669.4092901738,4624.04157370124
2017-10,58099.0481822009,6503.62479651503
2017-11,186835.966397816,19093.6618609565
2017-12,1150390.43354523,102639.001543664
2018-01,2537509.53883867,348486.595639702
2018-02,1900165.59490073,503878.636598835
2018-03,322983.672943202,149168.305486708
2018-04,94751.7884545043,69657.0130211284
2018-05,18341.5340958321,24364.1273810307
2018-06,6207.05289486512,8867.21842123589
2018-07,5494.6073208133,8438.14695696328
2018-08,9333.21408079446,6898.46258145678
2018-09,13626.3234063029,18987.4998284549
2018-10,14814.4055717635,39005.0172016051
2018-11,18517.2985834802,74439.5403055904
2018-12,18517.2985834802,74439.5403055904
