edate,AH1,B
2010-01,155037.808585894,3158.93283182955
2010-02,173249.893070253,2693.69821081511
2010-03,176059.818942718,3800.57276955665
2010-04,61470.8788608827,1682.59981963973
2010-05,12967.6770740892,2315.01427456991
2010-06,2940.55573094772,1939.24580532328
2010-07,1474.71837119369,1588.15824590089
2010-08,5716.07371483074,4563.86613219525
2010-09,7369.24465603487,4060.60419822329
2010-10,134225.575914952,101592.233623165
2010-11,261081.907173869,199123.863048107
2010-12,387938.238432787,296655.492473049
2011-01,514794.569691704,394187.121897991
2011-02,960937.942776033,649861.584711018
2011-03,356769.050599897,285619.211750738
2011-04,53715.9317761265,93242.833978314
2011-05,5509.74092342163,15288.2901298546
2011-06,3063.04709142422,2642.62886318952
2011-07,1197.09616668629,2414.14393615069
2011-08,2478.60065784368,2974.32078941242
2011-09,2133.6122172969,2844.8162897292
2011-10,1524.78304601764,6084.88187522927
2011-11,1956.62599430879,9087.44072912306
2011-12,4417.90690221338,12622.5911491811
2012-01,28418.3857660938,12110.997022527
2012-02,150161.791186273,34210.2706364198
2012-03,304493.482115274,82022.4800360318
2012-04,120516.439159893,134713.905647925
2012-05,33241.7606468731,166716.434339364
2012-06,13692.4176494007,138574.476111972
2012-07,3819.47489728724,55637.4130612602
2012-08,3977.61460723391,23530.0837965661
2012-09,2140.81415257397,32205.6217341303
2012-10,2859.57063932653,56373.4091694823
2012-11,5222.78054954836,135091.283152957
2012-12,35160.2214308532,448136.096047983
2013-01,73726.4804062357,517732.37128669
2013-02,70070.3173459344,506144.400105674
2013-03,36997.3196185546,502072.887142775
2013-04,26479.1537982111,207896.007203783
2013-05,11292.0845444412,86846.4389652384
2013-06,16674.9861376573,40239.1341275866
2013-07,11291.9191893705,10749.4321362191
2013-08,21427.0967565624,8084.80482209218
2013-09,62880.5122771727,10017.437582425
2013-10,62150.7631338485,10716.5460595027
2013-11,169624.31027729,19512.9741601013
2013-12,1164891.63952906,29209.4647034706
2014-01,1712863.94863741,44498.4513497259
2014-02,698089.94167336,77877.2771832892
2014-03,184903.725554098,144038.374155274
2014-04,35245.3118097603,230364.934749627
2014-05,5784.13042349995,152032.148995804
2014-06,1915.78132161703,73548.9003615553
2014-07,1146.88037956701,33140.2554479682
2014-08,2112.74517343798,15712.478115865
2014-09,2470.88538777207,19061.2240427425
2014-10,2172.96623938202,33300.5378963406
2014-11,3198.78257450346,38766.3724307453
2014-12,4089.40433491977,75316.103575459
2015-01,3394.34720566442,100915.330538143
2015-02,3835.02093569668,181728.378621351
2015-03,3050.93670598352,313909.796132887
2015-04,2752.12515832378,252258.823740589
2015-05,1145.72036734746,107563.057025758
2015-06,413.68826356821,33426.0116963113
2015-07,1612.95813640028,10973.4730555974
2015-08,1263.7475428651,5131.16125623582
2015-09,1016.4575103194,10022.4346666403
2015-10,4776.65245665581,11271.8888659708
2015-11,8190.60003781838,17791.2834834942
2015-12,35150.6423152547,34389.5329557059
2016-01,148668.764660364,76879.7208790128
2016-02,636627.46673671,265174.99915615
2016-03,1023486.62555123,394408.887120312
2016-04,328579.945221676,303954.330616412
2016-05,49002.7018675954,171353.650377517
2016-06,4960.31712274324,46406.1562048005
2016-07,1089.03720978745,13340.4835674044
2016-08,1832.25305939574,9476.28424403273
2016-09,4347.92023049914,18333.3141794632
2016-10,3660.95623494381,19202.0915180187
2016-11,3971.55524003974,28684.6059746958
2016-12,9268.3272557326,51435.3540349991
2017-01,25285.7690714488,117385.359266381
2017-02,49314.4146982572,446349.545070862
2017-03,28605.2821026209,577599.098865915
2017-04,9074.30707512585,414646.385559935
2017-05,3586.94737887315,121745.264901482
2017-06,4353.49033692756,62491.1538526815
2017-07,4879.47158610703,19795.5676242128
2017-08,3638.86388369015,13129.9110780705
2017-09,4624.04157370124,15811.354098107
2017-10,6503.62479651503,19538.6903000801
2017-11,19093.6618609565,57017.9317313577
2017-12,102639.001543664,223594.93159106
2018-01,348486.595639702,715174.137569406
2018-02,503878.636598835,1446904.28777584
2018-03,149168.305486708,606911.525874507
2018-04,69657.0130211284,326748.86441884
2018-05,24364.1273810307,82782.6192704879
2018-06,8867.21842123589,17137.0663383043
2018-07,8438.14695696328,5303.7070664648
2018-08,6898.46258145678,4994.36204992346
2018-09,18987.4998284549,10272.3778571752
2018-10,39005.0172016051,15562.2427296487
2018-11,74439.5403055904,17197.0151944781
2018-12,74439.5403055904,17197.0151944781
