edate,AH1,B
2011-02,37817.5723083367,151270.289233347
2011-03,65364.2984825752,21788.0994941917
2011-04,73266.7771670696,16281.5060371266
2011-05,44176.3828231427,24096.2088126233
2011-06,30296.5056252151,65642.4288546328
2011-07,18562.3043593171,215322.730568078
2011-08,9802.79716807548,240168.530617849
2011-09,6012.4121091836,456943.320297954
2011-10,7701.98978608759,123231.836577402
2011-11,10498.9121172454,293969.53928287
2011-12,66379.070469834,188925.046721835
2012-01,26025.6549738233,190854.803141371
2012-02,5954.66729486832,363234.704986968
2012-03,23082.8714830403,271223.739925723
2012-04,13298.1597277417,115250.717640428
2012-05,4960.97646533279,84336.5999106574
2012-06,16278.6011729627,78137.285630221
2012-07,103774.992098145,283651.645068262
2012-08,348085.348866484,268196.908143029
2012-09,381154.918670636,421992.945671061
2012-10,253933.37775909,301176.79687706
2012-11,75295.2024615832,192943.956307807
2012-12,29010.1641632175,232081.31330574
2013-01,80683.2019004487,300728.297992581
2013-02,10424.5461949121,229340.016288066
2013-03,34043.7564427706,79435.431699798
2013-04,9224.38327355558,18448.7665471112
2013-05,0,6746.04541622955
2013-06,6959.3560370252,3479.6780185126
2013-07,5593.12237469926,5593.12237469926
2013-08,16874.3875046438,8437.19375232188
2013-09,6830.65058710789,10245.9758806618
2013-10,11528.0330750823,5764.01653754113
2013-11,30864.3584164033,17636.7762379447
2013-12,36276.3226520723,45345.4033150904
2014-01,129955.885632985,108296.571360821
2014-02,426709.976208705,210957.741047
2014-03,306881.315151012,220325.046775085
2014-04,128444.225645727,95586.400480541
2014-05,174873.622495367,112939.214528258
2014-06,62353.8450728258,165054.295781009
2014-07,52063.0492629537,325394.057893461
2014-08,11604.5471039135,166331.84182276
2014-09,28060.8191513636,168364.914908181
2014-10,61209.3649595736,97934.9839353178
2014-11,0,54281.1922267541
2014-12,16142.5686817022,16142.5686817022
2015-01,0,50605.3743667758
2015-02,59545.7585783829,119091.517156766
2015-03,103894.673705782,57719.263169879
2015-04,32049.1673134823,10683.0557711608
2015-05,0,8618.15731784998
2015-06,127594.651377037,9814.97318284898
2015-07,11106.0299043164,11106.0299043164
2015-08,21081.832947826,52704.582369565
2015-09,30190.3807051581,70444.221645369
2015-10,12266.6496736857,134933.146410543
2015-11,0,242904.563591428
2015-12,0,161312.559785269
2016-01,23698.2088413545,189585.670730836
2016-02,128063.385439501,587584.94495771
2016-03,203933.965478661,554890.092116356
2016-04,187243.655143408,500784.651874416
2016-05,170553.344808155,446679.211632477
2016-06,153863.034472902,392573.771390537
2016-07,137172.724137649,338468.331148597
2016-08,120482.413802396,284362.890906658
2016-09,103792.103467144,230257.450664718
2016-10,87101.7931318906,176152.010422778
2016-11,70411.4827966378,122046.570180839
2016-12,12561.4621984415,113053.159785973
2017-01,0,30536.2208493273
2017-02,0,140653.01155867
2017-03,13595.6641901074,88371.8172356978
2017-04,44227.0028413028,36855.8357010856
2017-05,46769.6237483188,15589.8745827729
2017-06,110399.781028757,50599.8996381801
2017-07,140225.315041688,107014.056216025
2017-08,234860.56875344,161047.247145216
2017-09,135066.771283247,298166.268681884
2017-10,81588.2208040777,225936.611457446
2017-11,29395.6826728764,155377.179842347
2017-12,76416.7111100955,280194.607403684
2018-01,94149.3302653132,136944.48038591
2018-02,93099.5852782084,279298.755834625
2018-03,129683.283454816,82525.725834883
2018-04,122580.384308753,37307.0734852727
2018-05,118461.838257458,13162.4264730508
2018-06,224139.575715974,0
2018-07,282363.851155362,11294.5540462145
2018-08,358329.922927338,12951.6839612291
2018-09,281626.872762946,9493.04065493075
2018-10,259613.703125784,25123.9067541081
2018-11,149670.129130175,28063.1492119079
2018-12,149670.129130175,28063.1492119079
