Country Name,GDP growth,GDP level,CPI,Population,Children,Adults,Aging,Urban Pop,Sex ratio,Density,Flights,Chronic diseases,Respiratory diseases,Smoking,Obesity,Pet,Temperature,Humidity,Pre,Cld,Forest area,Zone,B degree,B cluster,B betweenness,H3N2 degree,H3N2 cluster,H3N2 betweenness,H1N1 degree,H1N1 cluster,H1N1 betweenness,H3N2 trunk,H1N1 trunk,B trunk,H1N1 Fst,B Fst,H3N2 Fst,B gc,H1N1 gc,H3N2 gc,B pi,H1N1 pi,H3N2 pi,Physicians,Beds,Health expenditure,Duration,H3N2 infection,H1N1 infection,B infection,Flu vaccination,H1B
Algeria,2.9,2,123.2492843,38998184.56,28.47065515,65.71689939,5.812445457,70.164,1.05,16.37382105,3785.625,32.0814289,15.8894635,15.35714286,25.34285714,4.988888889,18.84723615,55.30205631,86.06666667,35.4,0.814866441,2,31,0.871179039,0.000609888,35,0.902044293,0.000317685,41,0.888751545,0.000640896,0.000453241,0.000575595,0.002811535,0.143504729,0.054133795,0.056558651,37.8782,37.3218,36.6828,0.0581,0.0117,0.0159,1.636675,1.9,6.110726039,16,0.11521177,0.147163479,0.112866872,0.03,1
Argentina,1.759251975,2,0,42657477.33,25.37405613,63.9911574,10.63478647,91.37055556,1.04,15.58725224,4246,39.2085589,24.6653514,24.48571429,26.8,3.7,15.1899987,70.50231815,594.2444444,42.01111111,10.1237626,1,78,0.790040377,0.006659423,70,0.822580645,0.004151914,79,0.789231779,0.005223429,0.006194289,0.003453569,0.002848537,0.067201897,0.041354095,0.086878455,40.7276,38.3994,35.7456,0.0543,0.0176,0.0169,3.784975,4.72,9.720354187,20,0.021452856,0.022862386,0.010550033,0.8705,1
Australia,2.648627971,3,109.5126604,23477833.78,18.99479549,66.47060984,14.53459467,85.60055556,1.05625,3.054885858,5063.375,45.4180928,16.1690149,16.21428571,27.3,5.266666667,20.57842754,63.10898015,540.2,37.35555556,16.15563363,2,94,0.767729268,0.008873321,85,0.754249292,0.015113126,90,0.773839556,0.007518438,0.023719595,0.029930929,0.030789019,0.057369037,0.052801826,0.049970461,38.3009,36.6586,36.216,0.0565,0.0203,0.016,3.4293125,3.833333333,8.938081212,15,0.065177443,0.038644469,0.036676021,0.635,0
Austria,1.568936852,3,108.8287119,8580963.444,14.31701183,67.13117266,18.5518155,57.61488889,1.055,103.9743494,4975.25,66.3649653,12.6513807,32.55714286,18.82857143,1.933333333,7.301937894,82.05060854,1184.344444,62.08888889,46.83015442,1,32,0.868583162,0.000653841,58,0.851011649,0.001793469,47,0.858013121,0.001118369,0.00015108,0.003261704,0.000859205,0.07480102,0.102949073,0.044414388,39.1902,37.4101,36.9173,0.0301,0.0049,0.0106,4.991775,7.675,10.2802212,14,0.085283689,0.074420812,0.07189814,0.2,1
Bangladesh,6.605147357,1,135.7281143,154488400.7,29.82220292,65.15193183,5.025865244,33.53977778,1.049,1186.820317,3678.25,18.2076493,15.2800124,24.02857143,3.014285714,3.222222222,23.22680102,74.91357663,2381.522222,56.12222222,11.0178997,2,78,0.793167284,0.005611585,77,0.771596406,0.007901776,59,0.854179016,0.001788966,0.007402931,0.007482732,0.013427167,0.089884556,0.043520191,0.087137233,39.5991,38.4291,37.1627,0.0557,0.0168,0.0133,0.462822222,0.666666667,2.616999838,21,0.049029083,0.04809093,0.049965043,0.03,0
Belgium,1.589139675,3,108.1854032,11202586.44,16.97595079,65.02270078,18.00134843,97.83022222,1.05,369.9254734,4988.875,50.6382521,12.7423004,29.61428571,21.05714286,2,10.7892921,82.31321876,835.3222222,68.86666667,22.54029127,1,89,0.789012123,0.007042386,86,0.754563053,0.009659032,84,0.780724638,0.006248403,0.002719444,0.004221028,0.001123495,0.097403493,0.067064531,0.068797805,38.4435,36.6959,35.9975,0.0434,0.0141,0.0147,2.9816375,6.34,10.55988481,14,0.172087881,0.147899235,0.166503847,0.602,1
Brazil,1.416779595,2,130.1386806,202694788.2,22.9610015,69.24138129,7.797617212,85.47555556,1.05,24.25118366,4849.125,28.0671222,33.3506462,15.5,20.61428571,3.322222222,24.76903372,72.72645137,1718.5,71.12222222,59.28424267,2,94,0.752020319,0.011564788,83,0.731511732,0.012919416,92,0.718644477,0.011633365,0.190965403,0.164811972,0.007569947,0.062554676,0.039503672,0.050544272,39.047,37.4249,36.8828,0.0401,0.0146,0.0148,1.9749,2.3,8.539676083,18,0.07090289,0.09804179,0.038166457,0.9723,0
Bulgaria,2.211306186,2,106.4184047,7216185,14.06913813,66.32599567,19.6048662,73.65277778,1.05975,66.47101859,4051.75,56.8015785,25.4445674,39.3,23.67142857,2.566666667,11.1351147,77.52985421,678.7777778,62.05555556,34.89867348,1,79,0.829284307,0.00431067,63,0.822354772,0.004103876,68,0.817192359,0.003503193,0.001057562,0.000575595,0.000146942,0.078103355,0.062822844,0.059547455,37.8627,37.3079,36.6723,0.0555,0.0126,0.0178,3.913916667,6.575,7.386625449,12,0.10444592,0.066021137,0.084461629,0.08985,0
Cambodia,7.047253094,1,114.7380621,15275762.78,32.0145534,63.90827243,4.077174179,21.81622222,1.050125,86.53842498,3096.5,20.4504391,36.7118023,19.01428571,3.3,3.666666667,25.61896806,82.12879996,1910.455556,61.82222222,55.01812794,2,59,0.867829687,0.001709914,56,0.787220026,0.004155304,71,0.826140065,0.003763241,0.016920985,0.004796623,0.00567187,0.079890137,0.055578191,0.076211475,38.1404,36.7322,36.2415,0.0574,0.0167,0.0149,0.25802,0.76,6.633662222,21,0.059416681,0.055105874,0.060474196,0.2,1
Canada,2.207758846,3,107.3006106,35443589.89,16.11768515,68.23596786,15.64634699,81.20955556,1.053625,3.897655788,5327.75,44.24641,15.7015059,16.3,27.7,1.188888889,3.313026368,73.76457714,529.7777778,62.17777778,38.17691968,1,98,0.74644147,0.011012909,87,0.750472845,0.00900714,93,0.740679566,0.010088826,0.137785164,0.064850345,0.012037115,0.11304866,0.040713992,0.12235333,38.4363,36.6808,35.9807,0.0526,0.0125,0.0129,2.405871429,2.7,10.62826051,19,0.071544137,0.035554341,0.034286504,0.701,0
