Year,AH3,AH1,B
NA,NA,NA,NA
2010,494,358,184
2011,65,350,713
2012,217,16,70
2013,17,66,128
2014,69,4,5
2015,156,11,48
2016,48,126,154
2017,127,62,16
2018,2,104,54
NA,NA,NA,NA
2010,10,1162,674
2011,511,4,120
2012,589,637,643
2013,232,115,30
2014,1106,276,380
2015,41,623,739
2016,1417,15,90
2017,108,693,1602
2018,590,592,0
NA,NA,NA,NA
2010,71,575,325
2011,481,732,324
2012,2951,71,1288
2013,821,439,262
2014,866,1552,317
2015,1079,133,1569
2016,2664,330,961
2017,1785,408,2556
2018,324,1312,158
NA,NA,NA,NA
2010,23,5260,100
2011,216,1,251
2012,210,221,19
2013,196,697,38
2014,421,57,661
2015,10,1432,131
2016,704,1,92
2017,15,105,315
2018,228,579,6
NA,NA,NA,NA
2010,1,433,82
2011,101,105,65
2012,58,30,104
2013,46,83,111
2014,31,22,17
2015,82,291,67
2016,16,2,35
2017,243,499,57
2018,102,291,232
NA,NA,NA,NA
2010,126,340,36
2011,157,282,2
2012,83,73,20
2013,95,654,26
2014,183,19,49
2015,99,45,6
2016,2,457,32
2017,282,4,87
2018,13,1112,68
NA,NA,NA,NA
2010,64,2820,1291
2011,3969,7,428
2012,146,797,3489
2013,1917,3618,63
2014,3389,277,2621
2015,152,5113,2703
2016,6102,20,142
2017,3492,1876,12937
2018,4319,3323,29
NA,NA,NA,NA
2010,1,1667,88
2011,513,0,196
2012,91,63,56
2013,589,0,64
2014,119,168,232
2015,263,411,361
2016,299,36,160
2017,120,108,1636
2018,76,507,101
NA,NA,NA,NA
2010,0,252,339
2011,121,27,30
2012,38,144,186
2013,71,40,1
2014,212,101,151
2015,2,125,294
2016,186,1,4
2017,50,458,522
2018,290,73,1
NA,NA,NA,NA
2010,1,492,119
2011,242,0,261
2012,79,99,84
2013,49,86,9
2014,579,67,78
2015,55,105,293
2016,558,181,81
2017,14,108,480
2018,226,290,6
NA,NA,NA,NA
2010,1803,153,495
2011,207,4758,120
2012,1304,41,873
2013,795,5264,407
2014,1446,4,643
2015,2613,4102,1883
2016,1178,2512,1240
2017,2068,349,808
2018,933,4215,1145
NA,NA,NA,NA
